timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773808847303,3397,HTTP Request,200,OK,Thread Group 1-47,text,true,,97818,272,50,50,https://karaokeivan.com/index.php/login/,339,0,171
1773808847303,339,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,1221,136,50,50,http://karaokeivan.com/index.php/login/,339,0,171
1773808847644,3056,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,96597,136,50,50,https://karaokeivan.com/index.php/login/,2512,0,333
1773808846805,3934,HTTP Request,200,OK,Thread Group 1-42,text,true,,97819,272,49,49,https://karaokeivan.com/index.php/login/,320,0,159
1773808846805,320,HTTP Request-0,301,Moved Permanently,Thread Group 1-42,text,true,,1221,136,49,49,http://karaokeivan.com/index.php/login/,320,0,159
1773808847126,3613,HTTP Request-1,200,OK,Thread Group 1-42,text,true,,96598,136,49,49,https://karaokeivan.com/index.php/login/,3023,0,348
1773808848995,1905,HTTP Request,200,OK,Thread Group 1-64,text,true,,97810,272,50,50,https://karaokeivan.com/index.php/login/,310,0,156
1773808848995,310,HTTP Request-0,301,Moved Permanently,Thread Group 1-64,text,true,,1220,136,50,50,http://karaokeivan.com/index.php/login/,310,0,156
1773808849306,1594,HTTP Request-1,200,OK,Thread Group 1-64,text,true,,96590,136,50,50,https://karaokeivan.com/index.php/login/,1172,0,355
1773808845614,5413,HTTP Request,200,OK,Thread Group 1-30,text,true,,97818,272,50,50,https://karaokeivan.com/index.php/login/,312,0,160
1773808845614,312,HTTP Request-0,301,Moved Permanently,Thread Group 1-30,text,true,,1221,136,50,50,http://karaokeivan.com/index.php/login/,312,0,160
1773808845927,5100,HTTP Request-1,200,OK,Thread Group 1-30,text,true,,96597,136,50,50,https://karaokeivan.com/index.php/login/,4511,0,351
1773808848403,2900,HTTP Request,200,OK,Thread Group 1-58,text,true,,97818,272,52,52,https://karaokeivan.com/index.php/login/,310,0,156
1773808848811,2449,HTTP Request,200,OK,Thread Group 1-62,text,true,,97819,272,51,51,https://karaokeivan.com/index.php/login/,339,0,173
1773808848403,310,HTTP Request-0,301,Moved Permanently,Thread Group 1-58,text,true,,1221,136,52,52,http://karaokeivan.com/index.php/login/,310,0,156
1773808848811,339,HTTP Request-0,301,Moved Permanently,Thread Group 1-62,text,true,,1221,136,51,51,http://karaokeivan.com/index.php/login/,339,0,173
1773808848714,2589,HTTP Request-1,200,OK,Thread Group 1-58,text,true,,96597,136,52,52,https://karaokeivan.com/index.php/login/,2026,0,352
1773808849152,2108,HTTP Request-1,200,OK,Thread Group 1-62,text,true,,96598,136,51,51,https://karaokeivan.com/index.php/login/,1515,0,359
1773808848004,3408,HTTP Request,200,OK,Thread Group 1-54,text,true,,97817,272,51,51,https://karaokeivan.com/index.php/login/,310,0,156
